id,category,name,alias,carb_g_per_100g,protein_g_per_100g,fat_g_per_100g,kcal_per_100g_calc,serving_g,kcal_per_serving_calc
F097,05 大豆及制品,腐竹,,22.3,44.6,21.7,463,25,116
F098,05 大豆及制品,豆浆（无糖）,,1.2,1.8,0.7,18,250,45
F099,05 大豆及制品,黄豆芽,,4.5,4.5,1.6,50,150,75
F100,05 大豆及制品,绿豆芽,,2.9,2.1,0.1,21,150,32
F101,05 大豆及制品,毛豆（鲜）,,10.5,13.1,5.0,139,100,139
F102,05 大豆及制品,豌豆（鲜）,,21.2,7.4,0.3,117,100,117
F103,05 大豆及制品,素鸡,,4.0,16.5,12.5,194,80,155
F104,06 蔬菜,大白菜（均值）,,3.2,1.5,0.1,20,200,40
F105,06 蔬菜,小白菜,,2.7,1.5,0.3,20,200,40
F106,06 蔬菜,生菜,,2.0,1.4,0.2,15,150,22
F107,06 蔬菜,菠菜,,4.5,2.6,0.3,31,200,62
F108,06 蔬菜,油菜,,3.8,1.8,0.5,27,200,54
F109,06 蔬菜,空心菜,蕹菜,3.6,2.2,0.3,26,200,52
F110,06 蔬菜,芹菜（茎）,,4.5,1.2,0.2,25,150,38
F111,06 蔬菜,韭菜,,4.6,2.4,0.4,32,150,48
F112,06 蔬菜,茼蒿,,3.9,1.9,0.3,26,200,52
F113,06 蔬菜,西兰花,西蓝花,4.3,4.1,0.6,39,150,58
F114,06 蔬菜,花椰菜,菜花,4.6,2.1,0.2,29,150,44
F115,06 蔬菜,卷心菜,圆白菜、包菜,4.6,1.5,0.2,26,200,52
F116,06 蔬菜,紫甘蓝,,6.9,1.2,0.2,34,100,34
F117,06 蔬菜,芦笋,,4.9,1.4,0.1,26,100,26
F118,06 蔬菜,番茄,西红柿,4.0,0.9,0.2,21,150,32
F119,06 蔬菜,黄瓜,,2.9,0.8,0.2,17,150,26
F120,06 蔬菜,茄子,,4.9,1.1,0.2,26,150,39
F121,06 蔬菜,冬瓜,,2.6,0.4,0.2,14,200,28
F122,06 蔬菜,苦瓜,,4.9,1.0,0.1,24,150,36
F123,06 蔬菜,丝瓜,,4.2,1.0,0.2,23,150,34
F124,06 蔬菜,西葫芦,,3.8,0.8,0.2,20,150,30
F125,06 蔬菜,南瓜,,6.5,0.7,0.1,30,200,60
F126,06 蔬菜,青椒（灯笼椒）,彩椒,5.4,1.4,0.3,30,100,30
F127,06 蔬菜,尖椒（青辣椒）,,8.9,1.4,0.3,44,50,22
F128,06 蔬菜,洋葱,,9.0,1.1,0.2,42,100,42
F129,06 蔬菜,胡萝卜,,8.8,1.0,0.2,41,100,41
F130,06 蔬菜,白萝卜,,4.1,0.9,0.1,21,150,32
F131,06 蔬菜,莴笋,,2.8,1.0,0.1,16,150,24
F132,06 蔬菜,竹笋,,3.6,2.6,0.2,27,150,40
F133,06 蔬菜,莲藕,,16.4,1.9,0.2,75,150,112
F134,06 蔬菜,秋葵,,7.1,2.0,0.1,37,100,37
F135,06 蔬菜,荷兰豆,,6.0,2.5,0.3,37,100,37
F136,06 蔬菜,四季豆,青刀豆,5.7,2.0,0.4,34,150,51
F137,06 蔬菜,蒜苔,,15.4,2.0,0.1,70,100,70
F138,06 蔬菜,香菜,芫荽,6.2,1.8,0.4,36,20,7
F139,06 蔬菜,小葱,,6.5,1.6,0.4,36,20,7
F140,06 蔬菜,生姜,,10.3,1.3,0.6,52,10,5
F141,06 蔬菜,大蒜,,27.6,4.5,0.2,130,10,13
F142,07 菌藻,香菇（鲜）,,5.2,2.2,0.3,32,100,32
F143,07 菌藻,香菇（干）,冬菇,61.7,20.0,1.2,338,10,34
F144,07 菌藻,金针菇,,6.0,2.4,0.4,37,100,37
F145,07 菌藻,平菇,,4.6,1.9,0.3,29,150,44
F146,07 菌藻,杏鲍菇,,8.3,1.3,0.1,39,120,47
F147,07 菌藻,蟹味菇,,6.0,2.3,0.3,36,100,36
F148,07 菌藻,黑木耳（干）,,65.6,12.1,1.5,324,10,32
F149,07 菌藻,银耳（干）,白木耳,67.3,10.0,1.4,322,10,32
F150,07 菌藻,海带（鲜）,,2.1,1.2,0.1,14,150,21
F151,08 水果,苹果,,13.5,0.2,0.2,57,200,114
F152,08 水果,梨,,13.3,0.4,0.2,57,200,114
F153,08 水果,香蕉,,22.0,1.4,0.2,95,120,114
F154,08 水果,橙子,,11.1,0.8,0.2,49,200,98
F155,08 水果,蜜橘,橘子,10.3,0.8,0.4,48,150,72
F156,08 水果,柚子,,9.5,0.8,0.2,43,200,86
F157,08 水果,柠檬,,6.2,1.1,1.2,40,30,12
F158,08 水果,葡萄,,10.3,0.5,0.2,45,150,68
F159,08 水果,西瓜,,5.8,0.6,0.1,26,300,78
F160,08 水果,哈密瓜,,7.9,0.5,0.1,34,200,68
F161,08 水果,香瓜,甜瓜,6.2,0.4,0.1,27,200,54
F162,08 水果,草莓,,7.1,1.0,0.2,34,150,51
F163,08 水果,蓝莓,,14.5,0.7,0.3,64,80,51
F164,08 水果,猕猴桃,奇异果,14.5,0.8,0.6,67,120,80
F165,08 水果,芒果,,8.3,0.6,0.2,37,150,56
F166,08 水果,菠萝,凤梨,10.8,0.5,0.1,46,150,69
F167,08 水果,桃,,12.2,0.9,0.2,54,200,108
F168,08 水果,李子,,8.7,0.7,0.2,39,150,58
F169,08 水果,樱桃,车厘子,10.2,1.1,0.2,47,100,47
F170,08 水果,石榴,,18.7,1.4,0.2,82,150,123
F171,08 水果,火龙果,,13.0,1.1,0.4,60,200,120
F172,08 水果,柿子,,18.5,0.4,0.1,76,150,114
F173,08 水果,荔枝,,16.6,0.9,0.2,72,100,72
F174,08 水果,鲜枣,冬枣,28.6,1.1,0.3,122,80,98
F175,08 水果,百香果,,11.2,2.2,0.7,60,60,36
F176,08 水果,牛油果,鳄梨,7.4,2.0,15.3,175,100,175
F177,09 坚果·种子,核桃（干）,,19.1,14.9,58.8,665,20,133
F178,09 坚果·种子,杏仁（大杏仁）,巴旦木,23.9,22.5,45.4,594,20,119
F179,09 坚果·种子,腰果,,41.6,17.3,36.7,566,20,113
F180,09 坚果·种子,花生（炒）,,23.8,21.7,48.0,614,25,154
F181,09 坚果·种子,葵花子（炒）,瓜子,17.3,22.6,52.8,635,25,159
F182,09 坚果·种子,黑芝麻,,24.0,19.1,46.1,587,15,88
F183,09 坚果·种子,开心果,,27.2,20.6,45.3,599,20,120
F184,09 坚果·种子,松子,,19.0,12.6,62.6,690,15,104
F185,09 坚果·种子,夏威夷果,,13.8,7.9,75.8,769,20,154
F186,09 坚果·种子,栗子（熟）,板栗,46.0,4.8,1.5,217,60,130
F187,10 油脂·调味·饮品,花生油,,0.0,0.0,99.9,899,10,90
F188,10 油脂·调味·饮品,橄榄油,,0.0,0.0,99.9,899,10,90
F189,10 油脂·调味·饮品,芝麻油,香油,0.0,0.0,99.7,897,5,45
F190,10 油脂·调味·饮品,黄油,,0.0,0.5,82.5,744,10,74
F191,10 油脂·调味·饮品,白砂糖,,99.9,0.0,0.0,400,10,40
F192,10 油脂·调味·饮品,蜂蜜,,75.6,0.4,1.9,321,15,48
F193,10 油脂·调味·饮品,可乐,,10.8,0.0,0.0,43,330,142
F194,10 油脂·调味·饮品,无糖可乐,,0.0,0.0,0.0,0,330,0
F195,10 油脂·调味·饮品,啤酒,,3.1,0.4,0.0,14,330,46
F196,10 油脂·调味·饮品,白酒（52度）,,0.0,0.0,0.0,0,50,0
F197,10 油脂·调味·饮品,鲜榨橙汁,,10.0,0.6,0.1,43,250,108
F198,10 油脂·调味·饮品,拿铁（全脂奶）,,4.5,2.6,2.2,48,350,168
F199,10 油脂·调味·饮品,全糖奶茶,,12.0,1.2,3.5,84,500,420
F200,10 油脂·调味·饮品,生抽（酱油）,,10.1,5.6,0.1,64,10,6
